COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION
5001,Medellín,Antioquia
5002,Abejorral,Antioquia
5004,Abriaquí,Antioquia
5021,Alejandría,Antioquia
5030,Amagá,Antioquia
5031,Amalfi,Antioquia
5034,Andes,Antioquia
5036,Angelópolis,Antioquia
5038,Angostura,Antioquia
5040,Anorí,Antioquia
5042,Santa Fé De Antioquia,Antioquia
5044,Anzá,Antioquia
5045,Apartadó,Antioquia
5051,Arboletes,Antioquia
5055,Argelia,Antioquia
5059,Armenia,Antioquia
5079,Barbosa,Antioquia
5086,Belmira,Antioquia
5088,Bello,Antioquia
5091,Betania,Antioquia
5093,Betulia,Antioquia
5101,Ciudad Bolívar,Antioquia
5107,Briceño,Antioquia
5113,Buriticá,Antioquia
5120,Cáceres,Antioquia
5125,Caicedo,Antioquia
5129,Caldas,Antioquia
5134,Campamento,Antioquia
5138,Cañasgordas,Antioquia
5142,Caracolí,Antioquia
5145,Caramanta,Antioquia
5147,Carepa,Antioquia
5148,El Carmen De Viboral,Antioquia
5150,Carolina,Antioquia
5154,Caucasia,Antioquia
5172,Chigorodó,Antioquia
5190,Cisneros,Antioquia
5197,Cocorná,Antioquia
5206,Concepción,Antioquia
5209,Concordia,Antioquia
5212,Copacabana,Antioquia
5234,Dabeiba,Antioquia
5237,Donmatías,Antioquia
5240,Ebéjico,Antioquia
5250,El Bagre,Antioquia
5264,Entrerríos,Antioquia
5266,Envigado,Antioquia
5282,Fredonia,Antioquia
5284,Frontino,Antioquia
5306,Giraldo,Antioquia
5308,Girardota,Antioquia
5310,Gómez Plata,Antioquia
5313,Granada,Antioquia
5315,Guadalupe,Antioquia
5318,Guarne,Antioquia
5321,Guatapé,Antioquia
5347,Heliconia,Antioquia
5353,Hispania,Antioquia
5360,Itagüí,Antioquia
5361,Ituango,Antioquia
5364,Jardín,Antioquia
5368,Jericó,Antioquia
5376,La Ceja,Antioquia
5380,La Estrella,Antioquia
5400,La Unión,Antioquia
5411,Liborina,Antioquia
5425,Maceo,Antioquia
5440,Marinilla,Antioquia
5467,Montebello,Antioquia
5475,Murindó,Antioquia
5480,Mutatá,Antioquia
5483,Nariño,Antioquia
5490,Necoclí,Antioquia
5495,Nechí,Antioquia
5501,Olaya,Antioquia
5541,Peñol,Antioquia
5543,Peque,Antioquia
5576,Pueblorrico,Antioquia
5579,Puerto Berrío,Antioquia
5585,Puerto Nare,Antioquia
5591,Puerto Triunfo,Antioquia
5604,Remedios,Antioquia
5607,Retiro,Antioquia
5615,Rionegro,Antioquia
5628,Sabanalarga,Antioquia
5631,Sabaneta,Antioquia
5642,Salgar,Antioquia
5647,San Andrés De Cuerquía,Antioquia
5649,San Carlos,Antioquia
5656,San Jerónimo,Antioquia
5658,San José De La Montaña,Antioquia
5660,San Luis,Antioquia
5664,San Pedro De Los Milagros,Antioquia
5665,San Pedro De Urabá,Antioquia
5667,San Rafael,Antioquia
5670,San Roque,Antioquia
5674,San Vicente Ferrer,Antioquia
5679,Santa Bárbara,Antioquia
5686,Santa Rosa De Osos,Antioquia
5690,Santo Domingo,Antioquia
5697,El Santuario,Antioquia
5736,Segovia,Antioquia
5756,Sonsón,Antioquia
5761,Sopetrán,Antioquia
5789,Támesis,Antioquia
5790,Tarazá,Antioquia
5792,Tarso,Antioquia
5809,Titiribí,Antioquia
5819,Toledo,Antioquia
5837,Turbo,Antioquia
5842,Uramita,Antioquia
5847,Urrao,Antioquia
5854,Valdivia,Antioquia
5856,Valparaíso,Antioquia
5858,Vegachí,Antioquia
5861,Venecia,Antioquia
